"従業者規模","事業所数","従業者数_（人）","製造品出荷額等_（万円）","付加価値額_（万円）　　","従業者規模"
"すさみ町_  4～  9人","7.0","33.0","28388.0","11594.0","  4～  9人"
"すさみ町_ 10～ 19人","1.0","18.0","χ","χ"," 10～ 19人"
"すさみ町_ 20～ 29人","2.0","50.0","χ","χ"," 20～ 29人"
"すさみ町_ 30～ 99人","1.0","39.0","χ","χ"," 30～ 99人"
"すさみ町_100～299人","-","-","-","-","100～299人"
"すさみ町_300人以上","-","-","-","-","300人以上 "
"那智勝浦町","36.0","278.0","248560.0","128485.0","那智勝浦町"
"那智勝浦町_  1～  3人","14.0","29.0","16877.0","8282.0","  1～  3人"
"那智勝浦町_  4～  9人","18.0","111.0","102558.0","45619.0","  4～  9人"
"那智勝浦町_ 10～ 19人","3.0","46.0","χ","χ"," 10～ 19人"
"那智勝浦町_ 20～ 29人","-","-","-","-"," 20～ 29人"
"那智勝浦町_ 30～ 99人","1.0","92.0","χ","χ"," 30～ 99人"
"那智勝浦町_100～299人","-","-","-","-","100～299人"
"那智勝浦町_300人以上","-","-","-","-","300人以上 "
"太地町","9.0","52.0","30990.0","13926.0","太地町"
"太地町_  1～  3人","1.0","1.0","χ","χ","  1～  3人"
"太地町_  4～  9人","7.0","41.0","χ","χ","  4～  9人"
"太地町_ 10～ 19人","1.0","10.0","χ","χ"," 10～ 19人"
"太地町_ 20～ 29人","-","-","-","-"," 20～ 29人"
"太地町_ 30～ 99人","-","-","-","-"," 30～ 99人"
"太地町_100～299人","-","-","-","-","100～299人"
"太地町_300人以上","-","-","-","-","300人以上 "
"古座川町","7.0","46.0","42912.0","18859.0","古座川町"
"古座川町_  1～  3人","2.0","5.0","χ","χ","  1～  3人"
"古座川町_  4～  9人","4.0","19.0","30754.0","14860.0","  4～  9人"
"古座川町_ 10～ 19人","-","-","-","-"," 10～ 19人"
"古座川町_ 20～ 29人","1.0","22.0","χ","χ"," 20～ 29人"
"古座川町_ 30～ 99人","-","-","-","-"," 30～ 99人"
"古座川町_100～299人","-","-","-","-","100～299人"
"古座川町_300人以上","-","-","-","-","300人以上 "
"北山村","3.0","9.0","23900.0","7761.0","北山村"
"北山村_  1～  3人","2.0","4.0","χ","χ","  1～  3人"
"北山村_  4～  9人","1.0","5.0","χ","χ","  4～  9人"
"北山村_ 10～ 19人","-","-","-","-"," 10～ 19人"
"北山村_ 20～ 29人","-","-","-","-"," 20～ 29人"
"北山村_ 30～ 99人","-","-","-","-"," 30～ 99人"
"北山村_100～299人","-","-","-","-","100～299人"
"北山村_300人以上","-","-","-","-","300人以上 "
"串本町","53.0","332.0","296126.0","129626.0","串本町"
"串本町_  1～  3人","29.0","56.0","26120.0","13812.0","  1～  3人"
"串本町_  4～  9人","15.0","108.0","76089.0","38278.0","  4～  9人"
"串本町_ 10～ 19人","7.0","97.0","χ","χ"," 10～ 19人"
"串本町_ 20～ 29人","-","-","-","-"," 20～ 29人"
"串本町_ 30～ 99人","2.0","71.0","χ","χ"," 30～ 99人"
"串本町_100～299人","-","-","-","-","100～299人"
"串本町_300人以上","-","-","-","-","300人以上 "
